1|76|10.7|1750822322055|1
5|5|13.8|1750911035733|1
6|13|18.07|1751002900238|1
7|36|31.0|1751002907903|1
8|9|7.0|1751158316281|1
9|5|6.0|1751244472693|1
10|5|1.0|1751314167072|1
11|36|95.0|1751331170392|1
12|5|72.61|1751341859671|1
13|5|35.0|1751424904510|1
14|5|20.83|1751510646895|1
15|5|18.02|1751576219249|1
16|40|11.0|1751585718910|1
17|40|100.0|1751610090993|1
18|5|14.87|1751685746201|1
19|18|33.0|1751686089088|1
20|18|47.0|1751699335531|1
21|23|10.0|1751763882619|1
22|5|28.3|1751870810514|1
23|5|20.0|1751922816751|1
24|5|10.0|1751922841934|1
25|5|10.0|1751991454045|1
27|9|50.0|1752008029722|1
28|5|10.0|1752031265148|1
30|5|155.56|1752033629590|1
31|60|16.33|1752035166734|1
32|5|62.5|1752066955723|1
34|5|20.0|1752079866892|1
35|16|22.0|1752081391229|1
36|5|60.0|1752081917926|1
37|5|60.0|1752094873567|1
38|5|6.5|1752098336234|1
39|81|182.44|1752128093140|1
40|5|250.0|1752265210323|1
41|5|36.0|1752470769604|1
42|40|65.0|1752557671183|1
43|23|6.0|1752726013639|1
44|23|13.0|1752728105619|1
45|79|7.88|1752982426818|1
46|79|130.0|1753061064956|1
47|23|79.81|1753244373248|1
49|28|15.0|1753476842485|1
50|79|36.86|1753635674696|1
51|36|10.0|1753654961953|1
52|98|10.0|1753654965917|1
53|36|0.78|1754124438423|1
54|1|34.38|1755555313042|1
55|1|44.0|1755609720027|1
56|28|50.0|1755889798519|1
57|107|25.88|1756129381604|1
58|44|13.25|1756311943167|1
59|30|50.0|1756482193573|1
60|34|21.88|1756673067880|1
61|28|83.21|1756693731704|1
62|28|30.48|1756778483985|1
63|75|57.0|1756781133084|1
64|28|58.43|1756849466293|1
65|114|7.13|1756945560204|1
66|34|14.31|1757431885582|1
67|34|1.0|1757431902391|1
68|30|50.0|1757435352674|1
69|100|50.0|1757435356078|1
70|106|50.0|1757435359284|1
71|44|15.0|1757474789928|1
73|112|15.45|1757555226854|1
74|112|9.32|1757555374906|1
75|112|29.93|1757555914714|1
76|44|2.0|1757638776710|1
77|34|14.0|1757787980625|1
78|34|29.0|1757905224119|1
79|34|24.0|1757962719797|1
80|120|1.0|1758049766617|1
81|122|25.0|1758157974815|1
